id,cost
1,28.894402
2,21.466316
3,13.191473
4,9.278186
5,5.333649
6,5.0825906
7,4.9986715
8,4.7753835
9,24.587576
10,13.687489
11,7.3490005
12,5.291719
13,3.4515922
14,3.2540221
15,3.1711526
16,3.0292547
17,27.227474
18,19.643755
19,11.217835
20,8.195145
21,5.4785666
22,5.4462256
23,5.399539
24,5.230924
25,29.744171
26,22.74195
27,14.077682
28,9.867278
29,5.5812483
30,5.3892612
31,5.3390274
32,5.1580076
33,26.264393
34,15.794735
35,8.27634
36,5.653103
37,3.9218721
38,3.6045382
39,3.5281773
40,3.2451026
41,8.808706
42,20.887863
43,13.324926
44,29.383217
45,21.539196
46,15.626415
47,12.341728
48,10.606821
49,10.370406
50,10.25775
51,9.8725
52,93.639465
53,53.18068
54,44.0351
55,5.6358504
56,19.221315
57,6.5826097
58,12.856155
59,8.139862
60,6.482408
61,5.898842
62,5.616225
63,24.060173
64,18.320227
65,8.797065
66,6.7795362
67,3.8700101
68,3.5258172
69,3.4922445
70,3.5388703
71,9.623698
72,6.465049
73,4.7913713
74,4.107285
75,12.166677
76,26.102045
77,17.581427
78,7.472239
79,5.2695193
80,3.1473827
81,3.0991542
82,3.0318847
83,2.9232662
84,13.980483
85,12.802241
86,11.650302
87,11.932375
88,11.489033
89,25.520622
90,16.12448
91,8.566495
92,5.972606
93,3.9724495
94,3.9602578
95,3.9362564
96,3.6633375
97,10.709627
98,20.474566
99,11.045273
100,7.6263657
101,5.88264
102,3.5242145
103,3.2740169
104,3.1944644
105,3.0782783
106,24.223536
107,16.614979
108,8.233102
109,6.258912
110,4.8161945
111,4.794383
112,4.7497554
113,4.643675
114,11.398163
115,7.145876
116,23.0713
117,15.00353
118,10.706885
119,10.170658
120,97.834785
121,84.04881
122,66.23271
123,58.78108
124,23.79242
125,14.680809
126,6.9054418
127,4.2059135
128,2.7007198
129,2.5529811
130,2.5529811
131,11.884813
132,11.673209
133,11.440698
134,11.172478
135,10.912752
136,3.0355465
137,8.247023
138,6.8256545
139,6.5605035
140,6.321288
141,3.5563297
142,24.453205
143,15.347415
144,7.843749
145,5.5709887
146,3.6252835
147,3.6058447
148,3.5529556
149,3.2056065
150,15.417518
151,28.763502
152,23.80351
153,12.330988
154,9.173604
155,5.767797
156,5.7248645
157,5.696171
158,5.572665
159,489.43228
160,336.02948
161,239.60262
162,168.55661
163,130.96992
164,105.259224
165,89.77992
166,67.66041
167,24.351276
168,14.484213
169,6.6489677
170,4.7749248
171,3.2329473
172,3.1501632
173,3.0866637
174,3.0284584
175,17.510715
176,12.346189
177,8.173169
178,16.504488
179,14.157716
180,9.515393
181,29.756767
182,15.704133
183,12.11624
184,7.602785
185,30.713388
186,24.13669
187,18.231915
188,15.287273
189,11.103741
190,10.612974
191,10.497467
192,10.017415
193,3.7594705
194,3.6490574
195,25.220886
196,15.213587
197,7.5977287
198,5.296108
199,3.4930153
200,3.3590536
201,3.2676854
202,3.1140354
203,24.769983
204,14.97559
205,7.3268075
206,5.0102124
207,3.3413844
208,3.2276638
209,3.163651
210,3.066819
211,24.786842
212,15.238527
213,7.5610123
214,4.965389
215,3.3069546
216,3.1635964
217,3.1029704
218,3.01247
219,24.065294
220,14.831883
221,6.6541433
222,4.645653
223,3.1172216
224,3.0697064
225,3.0198693
226,2.8372881
227,24.601257
228,14.958348
229,7.204073
230,4.963217
231,3.2860796
232,3.1895092
233,3.1309571
234,3.0539074
235,24.601257
236,14.958348
237,7.204073
238,4.963217
239,3.2860796
240,3.1895092
241,3.1309571
242,3.0539074
243,6.414399
244,5.717236
245,4.959938
246,4.213569
247,26.079542
248,17.210503
249,8.887345
250,6.2190075
251,4.205132
252,4.1488037
253,4.0759563
254,3.9894643
255,15.9994
256,24.81475
257,15.721797
258,8.14455
259,5.706151
260,3.6944256
261,3.660611
262,3.6080015
263,3.2766483
264,14.497364
265,28.837877
266,23.64827
267,13.11818
268,8.394948
269,5.78103
270,5.76374
271,5.731504
272,5.6402926
273,12.193752
274,5.7677712
275,24.392145
276,15.166456
277,7.733396
278,5.508471
279,3.5583267
280,3.5273519
281,3.4609544
282,3.1744773
283,4.534078
284,4.287893
285,17.910645
286,6.7475977
287,5.650244
288,4.899754
289,26.192478
290,17.20723
291,11.239717
292,7.7772446
293,4.414286
294,4.2928934
295,4.2098656
296,4.0373874
297,24.821558
298,15.822547
299,8.038233
300,5.702579
301,3.6792002
302,3.645493
303,3.6022997
304,3.333238
305,2.390916
306,18.285654
307,26.552807
308,18.220684
309,9.506464
310,7.024922
311,4.5539446
312,4.5180273
313,4.4319916
314,4.205511
315,27.379671
316,16.41474
317,4.0945983
318,3.6554074
319,3.5381982
320,3.4989355
321,3.3046694
322,3.152501
323,13.955592
324,27.68934
325,21.041773
326,11.106978
327,8.229102
328,5.4138155
329,5.3407583
330,5.29317
331,4.947536
332,28.548517
333,22.459026
334,12.042372
335,9.105548
336,5.827389
337,5.788625
338,5.7617636
339,5.6686378
340,28.548517
341,22.459026
342,12.042372
343,9.105548
344,5.827389
345,5.788625
346,5.7617636
347,5.6686378
348,32.89273
349,14.356689
350,10.876999
351,8.29706
352,6.907001
353,4.734972
354,2.9068604
355,12.35535
356,8.31139
357,6.6864715
358,3.4842803
359,3.3175447
360,3.1744347
361,13.109266
362,8.915636
363,31.497232
364,20.436201
365,13.45779
366,10.491773
367,9.228858
368,8.248753
369,20.944975
370,26.406534
371,15.707129
372,8.135028
373,5.5896215
374,3.910135
375,3.5952053
376,3.5158455
377,3.2386644
378,42.350845
379,26.058838
380,20.101046
381,18.7906
382,17.571594
383,29.755424
384,23.613728
385,11.896775
386,8.308511
387,6.3382955
388,6.148716
389,6.1159573
390,6.0238867
391,28.733204
392,23.776068
393,12.540582
394,9.0517845
395,5.6831284
396,5.644496
397,5.61463
398,5.450225
399,29.958858
400,23.889465
401,12.330098
402,8.611059
403,6.4906454
404,6.2587776
405,6.2167206
406,6.115331
407,12.619712
408,7.996085
409,6.9844055
410,4.603231
411,2.4532309
412,27.467796
413,20.35387
414,9.156502
415,6.5819736
416,5.6627827
417,5.643509
418,5.6023817
419,5.347918
420,29.55673
421,23.517317
422,11.952438
423,9.031703
424,7.284407
425,7.2415257
426,7.118799
427,6.8156643
428,29.55673
429,23.517317
430,11.952438
431,9.031703
432,7.284407
433,7.2415257
434,7.118799
435,6.8156643
436,29.08287
437,24.304285
438,13.215967
439,9.722555
440,5.957356
441,5.922181
442,5.8788276
443,5.7705507
444,25.843184
445,16.191687
446,11.660956
447,10.050254
448,8.432472
449,8.839432
450,8.894295
451,6.846843
452,23.539358
453,14.670173
454,6.236215
455,4.126515
456,2.576281
457,2.5701268
458,2.5564647
459,2.4833715
460,23.880636
461,15.144563
462,8.087862
463,6.113139
464,3.2038884
465,3.1510792
466,3.1056223
467,2.9912462
468,9.087004
469,8.064401
470,7.475805
471,6.269785
472,5.99221
473,28.017054
474,21.08876
475,11.519897
476,8.58972
477,5.700411
478,5.6400614
479,5.6121264
480,5.5065928
481,27.841091
482,20.985918
483,11.042993
484,8.263981
485,5.5827227
486,5.529251
487,5.4946513
488,5.3671227
489,11.698197
490,7.7284546
491,5.9342036
492,4.617747
493,3.9477904
494,26.347633
495,15.536213
496,8.3957615
497,6.083028
498,3.925294
499,3.4995313
500,3.404986
501,3.149406
502,26.42477
503,15.522172
504,8.4042845
505,6.1443806
506,3.767106
507,3.3561893
508,3.254838
509,3.05807
510,25.808325
511,15.819054
512,9.2003355
513,6.5900927
514,3.9336267
515,3.4570055
516,3.3083196
517,3.0193806
518,8.268507
519,6.2027445
520,5.315828
521,10.217462
522,27.016155
523,20.74836
524,10.069406
525,6.9701886
526,4.6412163
527,4.613938
528,4.563954
529,4.25194
530,12.782186
531,10.533243
532,9.518595
533,7.9428306
534,156.78307
535,92.19412
536,50.499382
537,32.657497
538,23.87849
539,13.365904
540,3.0812898
541,23.095623
542,7.6303816
543,3.9068267
544,2.7429025
545,5.9908276
546,4.1592
547,3.9572825
548,3.9526262
549,6.0690284
550,5.5311728
551,4.806099
552,4.7463517
553,4.7421365
554,3.9005404
555,16.12385
556,2.8671021
557,3.6677685
558,4.3139687
559,4.275953
560,1.8570049
561,9.336742
562,8.367101
563,50.952
564,32.7398
565,22.420063
566,11.094129
567,7.8631835
568,5.440361
569,5.138716
570,5.0294375
571,4.7886305
572,31.836397
573,21.52199
574,11.047892
575,7.743882
576,5.3145666
577,4.9926195
578,4.861011
579,4.5206075
580,25.999706
581,15.514945
582,7.9761624
583,5.439425
584,3.6626532
585,3.498803
586,3.4539855
587,3.1353211
588,23.775454
589,14.840466
590,6.221225
591,4.166714
592,2.726541
593,2.6018455
594,2.568385
595,2.4943097
596,25.999706
597,15.514945
598,7.9761624
599,5.439425
600,3.6626532
601,3.498803
602,3.4539855
603,3.1353211
604,24.574072
605,15.031594
606,7.3118997
607,5.034525
608,3.293275
609,3.1904511
610,3.12923
611,3.0607364
612,24.27498
613,14.787187
614,6.7046046
615,4.743757
616,3.1831982
617,3.1051652
618,3.0514982
619,3.0159457
620,24.340097
621,14.966336
622,7.051194
623,4.9213753
624,3.2309701
625,3.1401224
626,3.078117
627,3.0387058
628,213.58936
629,78.00515
630,52.041092
631,28.595148
632,15.926817
633,13.8229265
634,172.3046
635,44.40925
636,25.522299
637,19.460175
638,16.516811
639,26.495493
640,18.4682
641,11.9989605
642,8.021142
643,4.2854714
644,4.1558633
645,23.60983
646,14.188327
647,6.319276
648,4.752102
649,3.2033582
650,3.1758616
651,3.1861873
652,3.172326
653,24.769215
654,15.803129
655,8.002631
656,5.68835
657,3.663257
658,3.629666
659,3.5899682
660,3.296268
661,4.3651423
662,7.041957
663,6.492176
